"","WTP","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current"
"37",180000,0.8075,0.097,0.0955,0.8405,0.0525,0.107,0.8575,0.027,0.1155,0.8645,0.012,0.1235,0.868,0.0035,0.1285,0.8695,5e-04,0.13
"38",185000,0.815,0.0955,0.0895,0.8455,0.054,0.1005,0.8625,0.027,0.1105,0.87,0.013,0.117,0.8735,0.0035,0.123,0.8755,5e-04,0.124
"39",190000,0.8175,0.0955,0.087,0.8485,0.0545,0.097,0.8645,0.027,0.1085,0.8725,0.0125,0.115,0.876,0.0045,0.1195,0.878,0.001,0.121
"40",195000,0.819,0.0965,0.0845,0.8505,0.0555,0.094,0.867,0.0295,0.1035,0.875,0.0135,0.1115,0.8785,0.005,0.1165,0.8805,0.001,0.1185
"41",2e+05,0.8215,0.097,0.0815,0.8555,0.0545,0.09,0.8695,0.03,0.1005,0.878,0.014,0.108,0.8815,0.005,0.1135,0.883,0.001,0.116
"42",205000,0.8225,0.098,0.0795,0.8575,0.0545,0.088,0.8715,0.0295,0.099,0.8795,0.014,0.1065,0.8835,0.0055,0.111,0.885,0.001,0.114
"43",210000,0.8275,0.097,0.0755,0.861,0.0555,0.0835,0.875,0.0295,0.0955,0.883,0.0155,0.1015,0.887,0.0055,0.1075,0.8885,0.001,0.1105
"44",215000,0.831,0.0985,0.0705,0.864,0.0565,0.0795,0.8785,0.031,0.0905,0.8865,0.015,0.0985,0.89,0.0055,0.1045,0.8915,0.001,0.1075
"45",220000,0.8325,0.0995,0.068,0.865,0.057,0.078,0.881,0.033,0.086,0.8895,0.0155,0.095,0.893,0.0055,0.1015,0.8945,0.001,0.1045
"46",225000,0.834,0.0995,0.0665,0.866,0.058,0.076,0.882,0.0335,0.0845,0.891,0.017,0.092,0.8945,0.006,0.0995,0.8965,0.001,0.1025
"47",230000,0.8375,0.0975,0.065,0.869,0.0565,0.0745,0.8825,0.035,0.0825,0.892,0.017,0.091,0.8955,0.0065,0.098,0.8975,0.0015,0.101
"48",235000,0.8385,0.098,0.0635,0.87,0.058,0.072,0.8835,0.035,0.0815,0.893,0.0165,0.0905,0.8965,0.0065,0.097,0.898,0.0015,0.1005
"49",240000,0.841,0.0965,0.0625,0.871,0.058,0.071,0.885,0.035,0.08,0.894,0.017,0.089,0.8975,0.007,0.0955,0.8995,0.0015,0.099
"50",245000,0.8425,0.0965,0.061,0.8725,0.059,0.0685,0.887,0.0355,0.0775,0.8955,0.0175,0.087,0.8995,0.0075,0.093,0.9015,0.0015,0.097
"51",250000,0.8435,0.0965,0.06,0.873,0.06,0.067,0.8885,0.035,0.0765,0.897,0.0185,0.0845,0.901,0.0075,0.0915,0.9035,0.0015,0.095
"52",255000,0.845,0.096,0.059,0.874,0.059,0.067,0.889,0.0355,0.0755,0.8975,0.0185,0.084,0.9015,0.008,0.0905,0.9045,0.002,0.0935
"53",260000,0.847,0.0945,0.0585,0.875,0.06,0.065,0.891,0.036,0.073,0.8995,0.019,0.0815,0.903,0.009,0.088,0.906,0.002,0.092
"54",265000,0.85,0.0935,0.0565,0.8775,0.06,0.0625,0.8945,0.035,0.0705,0.902,0.0205,0.0775,0.906,0.0095,0.0845,0.909,0.0025,0.0885
"55",270000,0.8505,0.0935,0.056,0.879,0.0595,0.0615,0.8955,0.0355,0.069,0.9025,0.0205,0.077,0.9065,0.01,0.0835,0.9095,0.0025,0.088
"56",275000,0.8525,0.093,0.0545,0.88,0.0615,0.0585,0.8965,0.0355,0.068,0.9035,0.021,0.0755,0.9075,0.01,0.0825,0.9105,0.0035,0.086
"57",280000,0.853,0.093,0.054,0.8805,0.061,0.0585,0.8965,0.0365,0.067,0.9035,0.0215,0.075,0.9075,0.01,0.0825,0.9105,0.0035,0.086
"58",285000,0.8555,0.0915,0.053,0.881,0.062,0.057,0.897,0.0385,0.0645,0.9045,0.022,0.0735,0.909,0.0095,0.0815,0.9125,0.0035,0.084
"59",290000,0.857,0.092,0.051,0.883,0.0615,0.0555,0.8985,0.0385,0.063,0.907,0.0225,0.0705,0.912,0.009,0.079,0.915,0.0035,0.0815
"60",295000,0.8575,0.092,0.0505,0.884,0.061,0.055,0.8995,0.038,0.0625,0.908,0.024,0.068,0.913,0.009,0.078,0.916,0.0035,0.0805
"61",3e+05,0.8585,0.092,0.0495,0.884,0.061,0.055,0.9,0.0375,0.0625,0.9085,0.024,0.0675,0.914,0.0095,0.0765,0.917,0.0035,0.0795
"62",305000,0.8595,0.092,0.0485,0.8855,0.061,0.0535,0.901,0.038,0.061,0.91,0.0245,0.0655,0.9155,0.011,0.0735,0.919,0.0035,0.0775
"63",310000,0.8595,0.092,0.0485,0.8855,0.0615,0.053,0.9015,0.0375,0.061,0.912,0.024,0.064,0.9175,0.011,0.0715,0.921,0.0035,0.0755
"64",315000,0.86,0.0925,0.0475,0.886,0.0615,0.0525,0.902,0.038,0.06,0.9125,0.024,0.0635,0.9185,0.0115,0.07,0.922,0.0035,0.0745
"65",320000,0.8605,0.092,0.0475,0.886,0.062,0.052,0.9025,0.0385,0.059,0.9125,0.024,0.0635,0.9185,0.0115,0.07,0.922,0.004,0.074
"66",325000,0.8605,0.092,0.0475,0.886,0.062,0.052,0.9035,0.039,0.0575,0.9135,0.024,0.0625,0.92,0.012,0.068,0.924,0.004,0.072
"67",330000,0.8615,0.0915,0.047,0.8875,0.0615,0.051,0.904,0.04,0.056,0.915,0.023,0.062,0.921,0.0125,0.0665,0.925,0.004,0.071
"68",335000,0.862,0.092,0.046,0.8885,0.0615,0.05,0.905,0.0405,0.0545,0.916,0.023,0.061,0.9225,0.0125,0.065,0.926,0.004,0.07
"69",340000,0.8625,0.0915,0.046,0.8885,0.062,0.0495,0.9055,0.04,0.0545,0.916,0.0235,0.0605,0.9225,0.013,0.0645,0.9265,0.004,0.0695
"70",345000,0.8635,0.091,0.0455,0.89,0.061,0.049,0.906,0.04,0.054,0.917,0.0235,0.0595,0.9235,0.0135,0.063,0.9275,0.004,0.0685
"71",350000,0.864,0.091,0.045,0.89,0.061,0.049,0.9065,0.04,0.0535,0.917,0.024,0.059,0.9235,0.0135,0.063,0.9275,0.004,0.0685
"72",355000,0.8645,0.0915,0.044,0.891,0.061,0.048,0.9075,0.0405,0.052,0.918,0.024,0.058,0.9245,0.0135,0.062,0.929,0.004,0.067
"73",360000,0.865,0.0925,0.0425,0.892,0.061,0.047,0.908,0.0405,0.0515,0.9195,0.0235,0.057,0.9265,0.013,0.0605,0.9305,0.004,0.0655
"74",365000,0.866,0.0915,0.0425,0.892,0.062,0.046,0.909,0.0395,0.0515,0.9195,0.0235,0.057,0.9275,0.0125,0.06,0.9315,0.004,0.0645
"75",370000,0.866,0.0915,0.0425,0.892,0.062,0.046,0.9095,0.039,0.0515,0.9195,0.024,0.0565,0.9275,0.0125,0.06,0.9315,0.0045,0.064
"76",375000,0.8665,0.0915,0.042,0.8925,0.062,0.0455,0.91,0.04,0.05,0.92,0.025,0.055,0.9285,0.013,0.0585,0.933,0.0045,0.0625
"77",380000,0.8675,0.091,0.0415,0.893,0.0625,0.0445,0.911,0.04,0.049,0.921,0.025,0.054,0.93,0.0135,0.0565,0.9355,0.004,0.0605
"78",385000,0.868,0.0905,0.0415,0.893,0.0625,0.0445,0.911,0.04,0.049,0.9215,0.0245,0.054,0.93,0.0135,0.0565,0.9355,0.004,0.0605
"79",390000,0.8685,0.0905,0.041,0.8935,0.0625,0.044,0.9115,0.0405,0.048,0.922,0.0245,0.0535,0.9305,0.014,0.0555,0.936,0.004,0.06
"80",395000,0.8695,0.09,0.0405,0.8945,0.062,0.0435,0.9125,0.041,0.0465,0.923,0.0245,0.0525,0.932,0.0135,0.0545,0.937,0.004,0.059
"81",4e+05,0.8695,0.09,0.0405,0.895,0.062,0.043,0.913,0.041,0.046,0.924,0.024,0.052,0.9325,0.0135,0.054,0.9375,0.004,0.0585
"82",405000,0.8695,0.09,0.0405,0.896,0.061,0.043,0.9135,0.041,0.0455,0.924,0.0245,0.0515,0.9325,0.0135,0.054,0.9375,0.004,0.0585
"83",410000,0.87,0.0895,0.0405,0.896,0.0615,0.0425,0.9135,0.041,0.0455,0.9245,0.024,0.0515,0.9325,0.0135,0.054,0.938,0.004,0.058
"84",415000,0.87,0.0895,0.0405,0.896,0.0615,0.0425,0.914,0.0405,0.0455,0.9245,0.0245,0.051,0.9325,0.0135,0.054,0.9385,0.004,0.0575
"85",420000,0.87,0.0895,0.0405,0.897,0.061,0.042,0.9155,0.04,0.0445,0.926,0.024,0.05,0.9335,0.0135,0.053,0.9395,0.004,0.0565
"86",425000,0.8705,0.09,0.0395,0.898,0.0605,0.0415,0.916,0.04,0.044,0.9265,0.0245,0.049,0.934,0.0135,0.0525,0.94,0.004,0.056
"87",430000,0.871,0.0905,0.0385,0.8985,0.06,0.0415,0.916,0.0405,0.0435,0.9265,0.0245,0.049,0.934,0.0135,0.0525,0.94,0.004,0.056
"88",435000,0.8715,0.091,0.0375,0.8995,0.0595,0.041,0.917,0.04,0.043,0.927,0.0245,0.0485,0.9345,0.0135,0.052,0.941,0.0035,0.0555
"89",440000,0.8715,0.091,0.0375,0.9005,0.0585,0.041,0.917,0.04,0.043,0.927,0.0245,0.0485,0.9345,0.0135,0.052,0.941,0.0035,0.0555
"90",445000,0.8715,0.0915,0.037,0.9005,0.059,0.0405,0.917,0.04,0.043,0.927,0.025,0.048,0.9345,0.014,0.0515,0.941,0.004,0.055
"91",450000,0.872,0.092,0.036,0.9015,0.059,0.0395,0.9175,0.04,0.0425,0.9275,0.026,0.0465,0.935,0.014,0.051,0.9415,0.004,0.0545
"92",455000,0.8725,0.0915,0.036,0.9015,0.059,0.0395,0.9175,0.04,0.0425,0.9275,0.026,0.0465,0.935,0.014,0.051,0.9415,0.004,0.0545
"93",460000,0.8735,0.091,0.0355,0.9025,0.0585,0.039,0.918,0.04,0.042,0.928,0.0265,0.0455,0.9355,0.014,0.0505,0.942,0.0045,0.0535
"94",465000,0.874,0.0905,0.0355,0.9025,0.0585,0.039,0.918,0.0405,0.0415,0.928,0.0265,0.0455,0.936,0.0145,0.0495,0.9425,0.0045,0.053
"95",470000,0.875,0.091,0.034,0.903,0.0585,0.0385,0.919,0.04,0.041,0.9285,0.027,0.0445,0.937,0.0145,0.0485,0.9435,0.0045,0.052
"96",475000,0.8755,0.0905,0.034,0.903,0.0585,0.0385,0.92,0.0395,0.0405,0.9285,0.027,0.0445,0.937,0.0145,0.0485,0.9435,0.0045,0.052
